,features,importance_vals
614,hsa.mir.1258,0.0035748220990990376
286,R-HSA-193807,0.003557208756756154
270,R-HSA-5663213,0.0035514462181663476
628,hsa.mir.1295a,0.0035448821785394103
522,R-HSA-190861,0.003532365071987442
387,R-HSA-449147,0.0035164918305235914
833,hsa.mir.4484,0.0034624233990325592
507,R-HSA-3232118,0.0034501090805861166
219,R-HSA-193648,0.0034494023758452385
54,R-HSA-429947,0.0034456279035657645
292,R-HSA-174154,0.0034321147975788337
392,R-HSA-420499,0.0034226455056887064
553,R-HSA-70221,0.0034215553452486345
338,R-HSA-5620916,0.003418424806877738
133,R-HSA-422085,0.00341325135785155
152,R-HSA-181430,0.003394696870818734
40,R-HSA-69473,0.003378231299575418
445,R-HSA-445144,0.0033706898148921026
430,R-HSA-166016,0.003363873148773564
501,R-HSA-437239,0.0033536006571193867
341,R-HSA-211976,0.003348331669367326
423,R-HSA-70268,0.0033397828242777905
616,hsa.mir.1262,0.0033198970453463517
103,R-HSA-375165,0.0033180989476386457
197,R-HSA-167290,0.0033170226996844577
419,R-HSA-205043,0.0033152892798534593
525,R-HSA-389960,0.0032886805637099316
123,R-HSA-114608,0.003284783898434398
389,R-HSA-5423646,0.003256993376235187
258,R-HSA-5669034,0.0032443912418966647
756,hsa.mir.331,0.0032266047113080278
32,R-HSA-936837,0.0032099713958450593
420,R-HSA-912694,0.0032096001550235087
335,R-HSA-140875,0.0032077119577752456
812,hsa.mir.3944,0.0032076092857460025
293,R-HSA-174178,0.0032042554228246447
1091,hsa.mir.937,0.00319430742509212
41,R-HSA-109688,0.003187330283035408
842,hsa.mir.452,0.003179693052661605
326,R-HSA-68877,0.0031766076502390207
892,hsa.mir.4777,0.003174856670957524
275,R-HSA-4641262,0.0031692616509099024
515,R-HSA-113510,0.003151321518271288
380,R-HSA-5654704,0.0031451213217223994
546,R-HSA-210993,0.0031314396486959595
81,R-HSA-3928663,0.003127485353124939
915,hsa.mir.5008,0.003123444913435378
244,R-HSA-2173796,0.003120076939521823
468,R-HSA-450408,0.003118460858677281
723,hsa.mir.3140,0.0031180853099795056
531,R-HSA-432720,0.003115458306747314
535,R-HSA-446193,0.0030898995703319086
781,hsa.mir.3677,0.003043767711460532
289,R-HSA-141430,0.003035597534617409
686,hsa.mir.2116,0.003025275739928475
426,R-HSA-4641263,0.00301295655357535
990,hsa.mir.643,0.0030037943633215037
517,R-HSA-166058,0.002996198220353108
1072,hsa.mir.760,0.00297279331520258
239,R-HSA-111465,0.0029713803870254196
745,hsa.mir.3199.2,0.0029549980811134444
470,R-HSA-4641257,0.0029520066296390723
550,R-HSA-372708,0.0029463551601111248
492,R-HSA-5696400,0.002945928401022684
547,R-HSA-5683826,0.0029432739003095775
194,R-HSA-167243,0.0029379199039431115
211,R-HSA-1632852,0.0029074619770108256
284,R-HSA-379716,0.002887060497687344
13,R-HSA-5673001,0.00287725007256995
233,R-HSA-5610783,0.002877016354468651
929,hsa.mir.542,0.002871481312868127
676,hsa.mir.203b,0.002839715110767429
179,R-HSA-749476,0.002838360331115837
37,R-HSA-5693607,0.0028360586329017677
996,hsa.mir.6509,0.0028316277576232096
538,R-HSA-389948,0.00283126078238638
613,hsa.mir.1254.2,0.0028312242953961687
510,R-HSA-936964,0.0028189068020583363
1075,hsa.mir.7705,0.002813330034223327
11,R-HSA-5576893,0.00280634581544291
418,R-HSA-381426,0.002767739261889801
232,R-HSA-5610780,0.0027625877978425706
112,R-HSA-75892,0.0027507553114628535
598,hsa.mir.1185.2,0.002744937132329142
376,R-HSA-5654699,0.0027437130763428284
434,R-HSA-2151201,0.002720841845875839
332,R-HSA-4420332,0.0027144850981858327
738,hsa.mir.3187,0.0027124114100297446
65,R-HSA-5654732,0.0027106849940901154
512,R-HSA-937072,0.00269710833690624
578,R-HSA-5358749,0.0026567204549792223
876,hsa.mir.4738,0.002652189411019208
149,R-HSA-901032,0.0026496829799907574
977,hsa.mir.605,0.00263940138900125
1095,hsa.mir.96,0.002636703274318961
9,R-HSA-442729,0.0026323913615021867
806,hsa.mir.3922,0.0026303093197020642
277,R-HSA-70895,0.0026300848940445576
109,R-HSA-399956,0.0026222921883709205
234,R-HSA-5684264,0.002619459286215715
249,R-HSA-4085001,0.002586198241842794
496,R-HSA-156902,0.0025745637256841293
1033,hsa.mir.6783,0.002568409534287639
322,R-HSA-69273,0.002568147826605127
78,R-HSA-2559586,0.002559252077480778
214,R-HSA-194840,0.0025576062768232076
500,R-HSA-198753,0.0025569585971607013
198,R-HSA-168325,0.0025568069075234236
938,hsa.mir.548j,0.002554756932076998
992,hsa.mir.6503,0.0025434881707042225
379,R-HSA-5654228,0.0025367880716839863
1086,hsa.mir.92a.1,0.002513713325097342
850,hsa.mir.4638,0.0025129651401448426
798,hsa.mir.3909,0.002509381392337673
1087,hsa.mir.92a.2,0.0024857056056862346
104,R-HSA-389357,0.00246232280638651
155,R-HSA-264642,0.0024551326905566384
27,R-HSA-77387,0.0024530185662297297
1025,hsa.mir.676,0.0024476499227796466
782,hsa.mir.3678,0.0024429372845406762
970,hsa.mir.581,0.0024423896029475145
1080,hsa.mir.877,0.002440541173045858
130,R-HSA-1482925,0.002440181971032871
74,R-HSA-212300,0.0024355490422749426
577,R-HSA-5358747,0.0024271381514881798
754,hsa.mir.328,0.002420820220295354
217,R-HSA-166208,0.0024152850709151606
206,R-HSA-75953,0.002399842424929375
